"Frame","Lat","Lon","Alt","Elevation","Yaw","Pitch","Roll","GimYaw","GimPitch","GimRoll","Timestamp","BoundingBoxClass","BoundingBoxCentre_X","BoundingBoxCentre_Y","BoundingBox_Width%","BoundingBox_Height%","BoundingBox_Lat","BoundingBox_Lon"
"1","","","","","","","","","","","","1","0.745573","0.815972","0.0515625","0.0837963"
"2","","","","","","","","","","","","1","0.742708","0.799306","0.0520833","0.0976852"
"3","","","","","","","","","","","","1","0.734896","0.774769","0.0463542","0.0791667"
"4","","","","","","","","","","","","1","0.725521","0.751852","0.046875","0.0814815"
"5","","","","","","","","","","","","1","0.717057","0.722685","0.0554687","0.087037"
"5","","","","","","","","","","","","1","0.130859","0.831944","0.0513021","0.0962963"
"6","50.4261505","12.529836","893.0","829.0015258789062","155.02","21.16","8.95","141.83","-34.27","0.0","0.3670333333333333","1","0.705339","0.688889","0.0549479","0.0925926","50.4261862677932","12.529542795653738"
"7","50.4261505","12.529836","893.0","829.0015258789062","155.02","21.16","8.95","141.83","-34.27","0.0","0.3670333333333333","1","0.692578","0.654167","0.0502604","0.0935185","50.42619218088441","12.529572891670767"
"8","50.4261505","12.529836","893.0","829.0015258789062","155.02","21.16","8.95","141.83","-34.27","0.0","0.3670333333333333","1","0.680859","0.621991","0.0507812","0.0837963","50.42619768413617","12.529600199270616"
"9","50.4261505","12.529836","893.0","829.0015258789062","155.02","21.16","8.95","141.83","-34.27","0.0","0.3670333333333333","1","0.667318","0.590278","0.0523437","0.0898148","50.42620206660462","12.529628816466287"
"10","50.4261505","12.529836","893.0","829.0015258789062","155.02","21.16","8.95","141.83","-34.27","0.0","0.3670333333333333","1","0.653516","0.552083","0.0481771","0.0856481","50.42620862441496","12.529660208443008"
"11","50.4261505","12.529836","893.0","829.0015258789062","155.02","21.16","8.95","141.83","-34.27","0.0","0.3670333333333333","1","0.638932","0.515278","0.0460938","0.0787037","50.42621429087121","12.529691411055937"
"12","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.624349","0.479167","0.0460938","0.0777778","50.42620744651383","12.529706031784759"
"14","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.59375","0.393056","0.0505208","0.0861111","50.426229231950295","12.529769610078352"
"15","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.888932","0.953704","0.0658854","0.0925926","50.42612023022684","12.529160940162479"
"15","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.76276","0.842361","0.0515625","0.0884259","50.42611654958747","12.529402489957915"
"15","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.576563","0.347917","0.0520833","0.0865741","50.42624030805804","12.529804039460878"
"16","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.869401","0.888889","0.0653646","0.109259","50.42614111828217","12.529226941954102"
"16","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.748958","0.778704","0.0541667","0.0888889","50.42613766069984","12.529447390838058"
"16","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.798568","0.690972","0.0632813","0.111574","50.42619487675897","12.529418033566953"
"16","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.5625","0.302315","0.05","0.087963","50.4262529595871","12.529835235467543"
"17","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.852083","0.818981","0.0619792","0.0953704","50.42616421318145","12.529287339429096"
"17","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.963281","0.712269","0.046875","0.0773148","50.426265103827625","12.529156525813393"
"17","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.736589","0.720139","0.0533854","0.0912037","50.426156729550414","12.529486586885199"
"17","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.783464","0.634028","0.0653646","0.113426","50.42621175536838","12.529460339907201"
"18","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.945964","0.64375","0.0419271","0.074537","50.42628614721832","12.529217905410473"
"18","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.720964","0.662269","0.0518229","0.0893519","50.42617382605078","12.529528160848322"
"18","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.838151","0.754398","0.0565104","0.099537","50.426185709627326","12.529336725341533"
"18","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.772266","0.576852","0.0601562","0.103704","50.42623023907842","12.529496348009824"
"18","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.567969","0.591204","0.0598958","0.110185","50.426141093853815","12.529729716888689"
"19","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.926823","0.578935","0.0421875","0.074537","50.4262335510999","12.529240364238671"
"19","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.823568","0.690509","0.0591146","0.0976852","50.42615027278475","12.529375033293585"
"19","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.754948","0.518287","0.0635417","0.106019","50.42620885545385","12.529515382817344"
"19","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.556901","0.540741","0.0580729","0.103704","50.426147376311974","12.529758094967692"
"19","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.707682","0.615046","0.0549479","0.0958333","50.42615353402473","12.529554935206681"
"20","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.808594","0.629398","0.0635417","0.103241","50.426174078626666","12.529413424527926"
"20","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.910677","0.516898","0.04375","0.0791667","50.42625771364411","12.529284061810927"
"20","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.544531","0.503009","0.05625","0.113426","50.426160356657945","12.529781154416556"
"20","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.697526","0.558565","0.0518229","0.0949074","50.426175576284656","12.529581366007703"
"20","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.741536","0.466435","0.0648438","0.115278","50.426228044068296","12.52954511629992"
"21","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.892839","0.455787","0.0471354","0.0810185","50.42628057551522","12.529328135860206"
"21","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.795833","0.576389","0.0583333","0.0944444","50.42619444347793","12.529445098215563"
"21","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.726042","0.412731","0.0671875","0.116204","50.426247424249446","12.529577354269623"
"21","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.680729","0.511574","0.0520833","0.0907407","50.42619158562182","12.52961346764248"
"21","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.530339","0.461343","0.0643229","0.121759","50.42617454417435","12.529807163333526"
"22","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.785677","0.522685","0.0588542","0.0907407","50.4262156528905","12.529472300031502"
"22","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.877865","0.398843","0.0494792","0.0865741","50.426302357427346","12.529364882388279"
"22","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.673437","0.461343","0.0536458","0.0884259","50.42621146382932","12.529633854753136"
"22","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.519271","0.419676","0.0640625","0.129167","50.42618954239705","12.52982944737388"
"23","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.771745","0.466898","0.0638021","0.106019","50.426236582751784","12.529504389454317"
"23","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.86276","0.33912","0.0494792","0.0856481","50.42632546208876","12.52940113896795"
"23","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.69974","0.31412","0.0666667","0.1125","50.42628382257737","12.529632426868329"
"23","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.658464","0.415278","0.0554687","0.0972222","50.42622747524468","12.529662627099972"
"24","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.756771","0.415741","0.0635417","0.101852","50.42625507912489","12.52953605138567"
"24","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.647266","0.371991","0.0559896","0.0930556","50.42624333933616","12.529685861460328"
"24","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.846484","0.285185","0.0497396","0.0796296","50.42634549842029","12.529436870354033"
"25","50.4261509","12.5298336","893.0","829.0015258789062","-162.95","5.32","-0.37","174.98","-69.06","0.0","0.9676333333333333","1","0.745443","0.369676","0.0638021","0.099537","50.42622948560312","12.52952367251201"
"26","50.4261509","12.5298336","893.0","829.0015258789062","-162.95","5.32","-0.37","174.98","-69.06","0.0","0.9676333333333333","1","0.734375","0.321759","0.0651042","0.108333","50.42625096495668","12.529541220363404"
"26","50.4261509","12.5298336","893.0","829.0015258789062","-162.95","5.32","-0.37","174.98","-69.06","0.0","0.9676333333333333","1","0.621094","0.286111","0.0578125","0.0972222","50.42625676874395","12.529693720694588"
"26","50.4261509","12.5298336","893.0","829.0015258789062","-162.95","5.32","-0.37","174.98","-69.06","0.0","0.9676333333333333","1","0.816927","0.177083","0.0505208","0.0856481","50.42633287462208","12.529424318075904"
"27","50.4261509","12.5298336","893.0","829.0015258789062","-162.95","5.32","-0.37","174.98","-69.06","0.0","0.9676333333333333","1","0.719922","0.277778","0.0658854","0.111111","50.4262703181662","12.5295629530919"
"28","50.4261509","12.5298336","893.0","829.0015258789062","-162.95","5.32","-0.37","174.98","-69.06","0.0","0.9676333333333333","1","0.710417","0.230324","0.059375","0.0976852","50.426292029953785","12.529577730840877"
"28","50.4261509","12.5298336","893.0","829.0015258789062","-162.95","5.32","-0.37","174.98","-69.06","0.0","0.9676333333333333","1","0.595443","0.210648","0.0565104","0.0953704","50.426289854340475","12.529730465583524"
"29","50.4261509","12.5298336","893.0","829.0015258789062","-162.95","5.32","-0.37","174.98","-69.06","0.0","0.9676333333333333","1","0.697526","0.188657","0.0643229","0.104167","50.42631078916707","12.52959675235417"
